[auto] roadmap=1000 candidates(filter=all)=594 already_done=204 todo=390 workers=10
[61/390] ok=True T2-BB-15-2.0-long-SOL-2024-H2 sh=2.063 tr=67 elapsed=4.1s wall_avg=0s eta=0min pass=20
[62/390] ok=True T2-BB-15-2.0-long-SOL-2025-H1 sh=-1.5553 tr=63 elapsed=4.1s wall_avg=0s eta=0min pass=20
[63/390] ok=True T2-BB-15-2.0-long-SOL-2025-H2 sh=-0.2465 tr=68 elapsed=4.2s wall_avg=0s eta=0min pass=20
[64/390] ok=True T2-BB-15-2.0-short-BTC-2024-H2 sh=2.1373 tr=25 elapsed=4.0s wall_avg=0s eta=0min pass=20
[65/390] ok=True T2-BB-15-2.0-short-BTC-2025-H1 sh=0.8478 tr=26 elapsed=4.3s wall_avg=0s eta=0min pass=20
[66/390] ok=True T2-BB-15-2.0-short-BTC-2025-H2 sh=-0.6553 tr=33 elapsed=4.3s wall_avg=0s eta=0min pass=20
[67/390] ok=True T2-BB-15-2.0-short-ETH-2025-H2 sh=1.2028 tr=62 elapsed=4.2s wall_avg=0s eta=0min pass=20
[68/390] ok=True T2-BB-15-2.0-short-ETH-2025-H1 sh=-0.7048 tr=60 elapsed=4.3s wall_avg=0s eta=0min pass=20
[69/390] ok=True T2-BB-15-2.0-short-ETH-2024-H2 sh=2.0662 tr=48 elapsed=4.4s wall_avg=0s eta=0min pass=21
[70/390] ok=True T2-BB-15-2.0-short-SOL-2024-H2 sh=2.063 tr=67 elapsed=4.3s wall_avg=0s eta=0min pass=22
[71/390] ok=True T2-BB-15-2.0-short-SOL-2025-H2 sh=-0.2465 tr=68 elapsed=4.6s wall_avg=0s eta=0min pass=22
[72/390] ok=True T2-BB-15-2.0-short-SOL-2025-H1 sh=-1.5553 tr=63 elapsed=4.7s wall_avg=0s eta=0min pass=22
[73/390] ok=True T2-BB-15-2.25-long-BTC-2025-H1 sh=0.7376 tr=20 elapsed=4.5s wall_avg=0s eta=0min pass=22
[74/390] ok=True T2-BB-15-2.25-long-BTC-2024-H2 sh=0.9251 tr=19 elapsed=4.5s wall_avg=0s eta=0min pass=22
[75/390] ok=True T2-BB-15-2.25-long-ETH-2024-H2 sh=1.5214 tr=36 elapsed=4.1s wall_avg=0s eta=0min pass=23
[76/390] ok=True T2-BB-15-2.25-long-ETH-2025-H1 sh=-2.0275 tr=45 elapsed=4.1s wall_avg=0s eta=0min pass=23
[77/390] ok=True T2-BB-15-2.25-long-BTC-2025-H2 sh=-0.3175 tr=27 elapsed=4.2s wall_avg=0s eta=0min pass=23
[78/390] ok=True T2-BB-15-2.25-long-SOL-2025-H1 sh=-1.2231 tr=51 elapsed=4.0s wall_avg=0s eta=0min pass=23
[79/390] ok=True T2-BB-15-2.25-long-ETH-2025-H2 sh=2.3034 tr=53 elapsed=4.2s wall_avg=0s eta=0min pass=24
[80/390] ok=True T2-BB-15-2.25-long-SOL-2024-H2 sh=1.3956 tr=49 elapsed=4.2s wall_avg=0s eta=0min pass=24
[81/390] ok=True T2-BB-15-2.25-short-BTC-2025-H1 sh=0.7376 tr=20 elapsed=4.0s wall_avg=0s eta=0min pass=24
[82/390] ok=True T2-BB-15-2.25-short-BTC-2024-H2 sh=0.9251 tr=19 elapsed=4.3s wall_avg=0s eta=0min pass=24
[83/390] ok=True T2-BB-15-2.25-long-SOL-2025-H2 sh=-0.9463 tr=51 elapsed=4.4s wall_avg=0s eta=0min pass=24
[84/390] ok=True T2-BB-15-2.25-short-ETH-2024-H2 sh=1.5214 tr=36 elapsed=4.3s wall_avg=0s eta=0min pass=25
[85/390] ok=True T2-BB-15-2.25-short-ETH-2025-H1 sh=-2.0275 tr=45 elapsed=4.3s wall_avg=0s eta=0min pass=25
[86/390] ok=True T2-BB-15-2.25-short-BTC-2025-H2 sh=-0.3175 tr=27 elapsed=4.5s wall_avg=0s eta=0min pass=25
[87/390] ok=True T2-BB-15-2.25-short-ETH-2025-H2 sh=2.3034 tr=53 elapsed=4.4s wall_avg=0s eta=0min pass=26
[88/390] ok=True T2-BB-15-2.25-short-SOL-2024-H2 sh=1.3956 tr=49 elapsed=4.4s wall_avg=0s eta=0min pass=26
[89/390] ok=True T2-BB-15-2.25-short-SOL-2025-H1 sh=-1.2231 tr=51 elapsed=4.4s wall_avg=0s eta=0min pass=26
[90/390] ok=True T2-BB-15-2.25-short-SOL-2025-H2 sh=-0.9463 tr=51 elapsed=4.3s wall_avg=0s eta=0min pass=26
[91/390] ok=True T2-BB-15-2.5-long-BTC-2025-H1 sh=0.3344 tr=12 elapsed=4.6s wall_avg=0s eta=0min pass=26
[92/390] ok=True T2-BB-15-2.5-long-BTC-2024-H2 sh=0.6322 tr=14 elapsed=4.8s wall_avg=0s eta=0min pass=26
[93/390] ok=True T2-BB-15-2.5-long-ETH-2025-H1 sh=-0.669 tr=32 elapsed=4.4s wall_avg=0s eta=0min pass=26
[94/390] ok=True T2-BB-15-2.5-long-ETH-2024-H2 sh=1.2097 tr=23 elapsed=4.4s wall_avg=0s eta=0min pass=26
[95/390] ok=True T2-BB-15-2.5-long-BTC-2025-H2 sh=-1.1298 tr=18 elapsed=4.7s wall_avg=0s eta=0min pass=26
[96/390] ok=True T2-BB-15-2.5-long-ETH-2025-H2 sh=1.0841 tr=41 elapsed=4.5s wall_avg=0s eta=0min pass=26
[97/390] ok=True T2-BB-15-2.5-long-SOL-2024-H2 sh=-0.0264 tr=31 elapsed=4.4s wall_avg=0s eta=0min pass=26
[98/390] ok=True T2-BB-15-2.5-short-BTC-2024-H2 sh=0.6322 tr=14 elapsed=4.5s wall_avg=0s eta=0min pass=26
[99/390] ok=True T2-BB-15-2.5-long-SOL-2025-H2 sh=-1.7792 tr=33 elapsed=4.6s wall_avg=0s eta=0min pass=26
[100/390] ok=True T2-BB-15-2.5-long-SOL-2025-H1 sh=-0.9428 tr=35 elapsed=4.8s wall_avg=0s eta=0min pass=26
[101/390] ok=True T2-BB-15-2.5-short-BTC-2025-H2 sh=-1.1298 tr=18 elapsed=4.0s wall_avg=0s eta=0min pass=26
[102/390] ok=True T2-BB-15-2.5-short-BTC-2025-H1 sh=0.3344 tr=12 elapsed=4.3s wall_avg=0s eta=0min pass=26
[103/390] ok=True T2-BB-15-2.5-short-ETH-2025-H2 sh=1.0841 tr=41 elapsed=4.3s wall_avg=0s eta=0min pass=26
[104/390] ok=True T2-BB-15-2.5-short-ETH-2025-H1 sh=-0.669 tr=32 elapsed=4.3s wall_avg=0s eta=0min pass=26
[105/390] ok=True T2-BB-15-2.5-short-SOL-2024-H2 sh=-0.0264 tr=31 elapsed=4.4s wall_avg=0s eta=0min pass=26
[106/390] ok=True T2-BB-15-2.5-short-ETH-2024-H2 sh=1.2097 tr=23 elapsed=4.5s wall_avg=0s eta=0min pass=26
[107/390] ok=True T2-BB-15-2.5-short-SOL-2025-H1 sh=-0.9428 tr=35 elapsed=4.6s wall_avg=0s eta=0min pass=26
[108/390] ok=True T2-BB-15-2.5-short-SOL-2025-H2 sh=-1.7792 tr=33 elapsed=4.5s wall_avg=0s eta=0min pass=26
[109/390] ok=True T2-RSI-7-20-80-long-BTC-2024-H2 sh=1.6648 tr=35 elapsed=6.9s wall_avg=0s eta=0min pass=27
[110/390] ok=True T2-RSI-7-20-80-long-BTC-2025-H1 sh=0.0939 tr=34 elapsed=7.2s wall_avg=0s eta=0min pass=27
[111/390] ok=True T2-RSI-7-20-80-long-BTC-2025-H2 sh=0.4874 tr=50 elapsed=7.2s wall_avg=0s eta=0min pass=27
[112/390] ok=True T2-RSI-7-20-80-long-ETH-2024-H2 sh=0.8529 tr=57 elapsed=7.4s wall_avg=0s eta=0min pass=27
[113/390] ok=True T2-RSI-7-20-80-long-SOL-2024-H2 sh=1.444 tr=68 elapsed=7.1s wall_avg=0s eta=0min pass=27
[114/390] ok=True T2-RSI-7-20-80-long-SOL-2025-H2 sh=-0.6952 tr=76 elapsed=7.1s wall_avg=0s eta=0min pass=27
[115/390] ok=True T2-RSI-7-20-80-long-SOL-2025-H1 sh=-1.84 tr=90 elapsed=7.5s wall_avg=0s eta=0min pass=27
[116/390] ok=True T2-RSI-7-20-80-long-ETH-2025-H1 sh=-3.138 tr=61 elapsed=7.8s wall_avg=0s eta=0min pass=27
[117/390] ok=True T2-RSI-7-20-80-long-ETH-2025-H2 sh=1.6882 tr=76 elapsed=7.8s wall_avg=0s eta=0min pass=28
[118/390] ok=True T2-RSI-7-20-80-short-BTC-2024-H2 sh=1.6648 tr=35 elapsed=7.5s wall_avg=0s eta=0min pass=29
[119/390] ok=True T2-RSI-7-20-80-short-BTC-2025-H1 sh=0.0939 tr=34 elapsed=7.5s wall_avg=0s eta=0min pass=29
[120/390] ok=True T2-RSI-7-20-80-short-BTC-2025-H2 sh=0.4874 tr=50 elapsed=7.4s wall_avg=0s eta=0min pass=29
[121/390] ok=True T2-RSI-7-20-80-short-ETH-2024-H2 sh=0.8529 tr=57 elapsed=7.5s wall_avg=1s eta=0min pass=29
[122/390] ok=True T2-RSI-7-20-80-short-ETH-2025-H2 sh=1.6882 tr=76 elapsed=7.1s wall_avg=1s eta=0min pass=30
[123/390] ok=True T2-RSI-7-20-80-short-ETH-2025-H1 sh=-3.138 tr=61 elapsed=7.3s wall_avg=1s eta=0min pass=30
[124/390] ok=True T2-RSI-7-25-75-long-BTC-2025-H1 sh=-0.1697 tr=45 elapsed=6.9s wall_avg=1s eta=0min pass=30
[125/390] ok=True T2-RSI-7-25-75-long-BTC-2024-H2 sh=2.5943 tr=54 elapsed=7.0s wall_avg=0s eta=0min pass=31
[126/390] ok=True T2-RSI-7-20-80-short-SOL-2024-H2 sh=1.444 tr=68 elapsed=7.4s wall_avg=0s eta=0min pass=31
[127/390] ok=True T2-RSI-7-20-80-short-SOL-2025-H2 sh=-0.6952 tr=76 elapsed=7.1s wall_avg=0s eta=0min pass=31
[128/390] ok=True T2-RSI-7-20-80-short-SOL-2025-H1 sh=-1.84 tr=90 elapsed=7.2s wall_avg=0s eta=0min pass=31
[129/390] ok=True T2-RSI-7-25-75-long-BTC-2025-H2 sh=-0.5528 tr=52 elapsed=7.2s wall_avg=1s eta=0min pass=31
[130/390] ok=True T2-RSI-7-25-75-long-ETH-2024-H2 sh=1.4275 tr=82 elapsed=7.0s wall_avg=1s eta=0min pass=31
[131/390] ok=True T2-RSI-7-25-75-long-ETH-2025-H2 sh=0.5153 tr=92 elapsed=6.4s wall_avg=1s eta=0min pass=31
[132/390] ok=True T2-RSI-7-25-75-long-ETH-2025-H1 sh=-3.8711 tr=85 elapsed=6.4s wall_avg=1s eta=0min pass=31
[133/390] ok=True T2-RSI-7-25-75-long-SOL-2024-H2 sh=1.2415 tr=85 elapsed=6.4s wall_avg=1s eta=0min pass=31
[134/390] ok=True T2-RSI-7-25-75-long-SOL-2025-H2 sh=-1.2952 tr=95 elapsed=6.3s wall_avg=1s eta=0min pass=31
