t,ts_signal,ts_exec_next_open,signal,regime_active,close_tm1,close_tm2,mu_now,sigma_now,mu_prev,sigma_prev,lower_now,lower_prev
427,2025-01-22 19:00:00+00:00,2025-01-22 20:00:00+00:00,ENTER_LONG,False,3249.93,3285.39,3312.5676666666664,24.931111311416174,3314.4763333333326,22.092955963886386,3275.170999699542,3281.336899387503
434,2025-01-23 02:00:00+00:00,2025-01-23 03:00:00+00:00,ENTER_LONG,True,3235.26,3253.62,3296.2786666666666,34.24066760771791,3299.508666666667,32.875474620993025,3244.9176652550896,3250.1954547351775
442,2025-01-23 10:00:00+00:00,2025-01-23 11:00:00+00:00,ENTER_LONG,True,3197.01,3210.05,3264.228333333333,39.63717515021583,3268.6940000000004,39.35834723833476,3204.772570608009,3209.6564791424985
447,2025-01-23 15:00:00+00:00,2025-01-23 16:00:00+00:00,EXIT,True,3275.55,3233.99,3250.3243333333335,36.91846301272877,3251.124666666667,37.708437582176344,3194.9466388142405,3194.5620102934026
453,2025-01-23 21:00:00+00:00,2025-01-23 22:00:00+00:00,EXIT,False,3247.18,3204.98,3238.486666666666,25.957857555832447,3240.046333333333,27.77538508383914,3199.5498803329174,3198.3832557075743
496,2025-01-25 16:00:00+00:00,2025-01-25 17:00:00+00:00,EXIT,True,3334.62,3315.85,3334.1133333333332,43.8441493879805,3336.3390000000004,45.47767528139487,3268.3471092513623,3268.122487077908
522,2025-01-26 18:00:00+00:00,2025-01-26 19:00:00+00:00,EXIT,False,3338.04,3315.82,3326.742333333333,14.821485909164268,3325.704666666667,15.081638888249353,3304.5101044695866,3303.082208334293
526,2025-01-26 22:00:00+00:00,2025-01-26 23:00:00+00:00,ENTER_LONG,False,3296.45,3329.67,3327.994,15.011511049857688,3329.2663333333335,13.857223022268489,3305.4767334252138,3308.480498799931
551,2025-01-27 23:00:00+00:00,2025-01-28 00:00:00+00:00,EXIT,True,3170.95,3159.25,3161.937,93.65480867348273,3166.766,97.64491144277135,3021.454786989776,3020.298632835843
570,2025-01-28 18:00:00+00:00,2025-01-28 19:00:00+00:00,EXIT,True,3167.62,3150.81,3158.8066666666664,43.78687119318857,3155.184,47.26544457282365,3093.1263598768837,3084.2858331407647
573,2025-01-28 21:00:00+00:00,2025-01-28 22:00:00+00:00,ENTER_LONG,True,3095.42,3147.31,3160.3676666666656,42.70870533301404,3161.770666666666,41.217401902055336,3096.3046086671447,3099.944563813583
584,2025-01-29 08:00:00+00:00,2025-01-29 09:00:00+00:00,EXIT,True,3156.89,3147.32,3154.6193333333335,42.708755069137226,3154.945666666667,42.762226998706325,3090.5562007296276,3090.8023261686076
595,2025-01-29 19:00:00+00:00,2025-01-29 20:00:00+00:00,EXIT,True,3127.94,3111.59,3125.661666666666,30.395359413714605,3127.229999999999,31.659985154765934,3080.068627546094,3079.7400222678502
601,2025-01-30 01:00:00+00:00,2025-01-30 02:00:00+00:00,EXIT,False,3124.42,3113.9,3118.4256666666665,23.23409831595699,3119.080333333333,23.66645241452315,3083.5745191927313,3083.580654711548
630,2025-01-31 06:00:00+00:00,2025-01-31 07:00:00+00:00,EXIT,True,3245.32,3216.61,3227.542666666667,40.39582708922078,3223.162,45.08421759329977,3166.948926032836,3155.5356736100503
634,2025-01-31 10:00:00+00:00,2025-01-31 11:00:00+00:00,EXIT,True,3266.4,3237.01,3240.485666666667,27.39202459151609,3238.322333333333,27.819429383476255,3199.397629779393,3196.593189258119
668,2025-02-01 20:00:00+00:00,2025-02-01 21:00:00+00:00,ENTER_LONG,True,3197.08,3242.04,3292.7156666666665,50.82638348229087,3297.969,48.77332271846978,3216.47609144323,3224.809015922295
684,2025-02-02 12:00:00+00:00,2025-02-02 13:00:00+00:00,ENTER_LONG,True,3064.86,3104.47,3180.1743333333334,70.82344652647797,3188.003333333333,70.6248733489523,3073.9391635436164,3082.0660233099047
